# Geodesic distances between cities in Sweden. City names can be found in 'city-names-sweden.csv'
516.78 349.18 764.59 74.49 297.60 280.84 500.42 424.45 605.20 544.61 154.57 103.42 366.74 310.17 105.97 372.57 1039.89 309.59 271.83 202.55 0.00 89.04 193.23 849.34 279.16 795.53 1350.33 930.28 472.97 230.65 1146.80 730.50 85.04 437.49
535.57 397.13 789.30 161.77 302.80 258.10 517.77 458.17 626.15 575.36 236.00 159.64 389.09 351.60 69.74 371.84 1068.33 383.22 247.65 187.28 89.04 0.00 210.99 874.93 316.05 800.58 1367.27 960.09 513.88 193.70 1175.88 752.85 55.96 487.05
327.03 199.88 579.19 187.36 105.68 126.39 309.88 248.03 416.96 364.39 180.67 106.17 178.62 149.43 145.47 181.58 857.65 246.11 122.89 74.01 193.23 210.99 0.00 664.69 111.61 602.37 1160.78 749.21 306.47 128.44 965.15 543.39 252.92 287.77
340.80 514.56 85.72 813.72 576.26 649.93 359.37 426.00 249.98 305.67 750.89 747.07 486.08 542.60 806.92 519.62 194.80 632.48 660.10 696.94 849.34 874.93 664.69 0.00 570.59 204.04 508.59 94.46 388.69 719.08 302.27 124.34 917.23 442.37
244.96 89.40 486.23 246.23 109.54 192.39 230.86 145.31 329.70 265.48 198.73 176.48 99.61 37.97 254.46 162.17 760.73 179.36 194.99 176.36 279.16 316.05 111.61 570.59 0.00 533.41 1073.97 651.15 197.83 225.64 867.66 453.20 351.40 176.19
290.53 507.61 177.14 777.01 499.93 550.50 302.90 407.66 222.14 309.19 730.80 700.55 435.06 516.77 730.85 428.75 354.27 648.57 561.30 613.65 795.53 800.58 602.37 204.04 533.41 0.00 578.33 286.35 402.00 621.24 449.25 161.12 849.95 464.14
833.93 1022.56 589.55 1319.26 1064.52 1124.91 850.90 931.34 745.16 811.94 1258.76 1249.64 983.70 1048.21 1297.87 998.59 343.81 1140.06 1135.62 1182.89 1350.33 1367.27 1160.78 508.59 1073.97 578.33 0.00 447.01 897.17 1195.77 264.66 620.83 1413.27 950.72
429.43 588.87 176.11 890.83 664.29 740.65 448.32 505.84 339.33 385.93 824.29 827.27 571.11 621.05 892.85 610.33 110.21 696.94 750.67 784.95 930.28 960.09 749.21 94.46 651.15 286.35 447.01 0.00 461.94 809.16 216.52 216.50 1000.67 510.73
138.24 126.93 308.85 429.35 251.69 345.68 141.14 66.72 179.86 93.45 362.76 369.56 150.75 163.35 451.41 239.18 572.14 250.47 352.78 360.43 472.97 513.88 306.47 388.69 197.83 402.00 897.17 461.94 0.00 400.49 677.73 282.97 548.32 62.20
380.02 314.21 633.86 263.55 150.76 70.87 361.01 335.32 469.84 437.58 289.15 194.61 252.78 262.40 130.49 199.75 913.86 374.50 60.15 54.64 230.65 193.70 128.44 719.08 225.64 621.24 1195.77 809.16 400.49 0.00 1021.21 594.81 249.05 395.80
642.97 804.63 387.86 1106.94 878.39 951.84 661.60 722.36 552.21 602.39 1039.42 1043.79 786.79 837.50 1108.30 821.61 107.64 908.21 962.07 999.09 1146.80 1175.88 965.15 302.27 867.66 449.25 264.66 216.52 677.73 1021.21 0.00 426.41 1216.95 724.82
217.54 404.65 40.99 698.47 452.82 525.60 235.83 310.84 126.73 192.87 639.71 629.15 364.97 427.60 684.42 395.30 319.06 532.79 535.77 573.39 730.50 752.85 543.39 124.34 453.20 161.12 620.83 216.50 282.97 594.81 426.41 0.00 796.28 341.68
579.86 427.26 831.84 157.00 350.40 312.01 562.53 495.93 669.88 614.89 239.13 181.80 431.36 384.99 121.53 421.66 1109.60 394.61 301.72 238.85 85.04 55.96 252.92 917.23 351.40 849.95 1413.27 1000.67 548.32 249.05 1216.95 796.28 0.00 516.60
195.63 89.92 365.19 387.34 254.59 349.24 195.38 93.23 242.02 155.23 315.33 335.14 163.45 138.36 428.81 260.50 620.72 191.30 354.79 350.19 437.49 487.05 287.77 442.37 176.19 464.14 950.72 510.73 62.20 395.80 724.82 341.68 516.60 0.00
